text,category
"Serviço Autônomo de Água e Esgoto de Salto - SAAE Salto Rua Nove de Julho, 1053 - Centro - Salto-SP - CEP 13320-005 Whatsapp: (11) 99984-3028 0800-7796-300 CONSUM.: SECRETARIA DA AÇÃO SOCIAL Nº DA LIGAÇÃO: 9730 - 16 LIGAÇÃO: PCA ANTONIO VIEIRA TAVARES, 36, SECRETARIA DA AÇÃO SOCIAL - CENTRO - CEP: 13320-229 PROP.: PREFEITURA DA ESTANCIA TURISTICA DE SALTO Código de Débito Automático 420000973016 ENTREGA: PCA ANTONIO VIEIRA TAVARES,36, DEP. CULTURAL - T CAT ECO HIDRÔMETRO LEIT. ATUAL LEIT. ANT. CONSUMO EMISSÃO REFERÊNCIA 4 1 Y15N266358 4685 4603 82 15/10/2025 SET/2025 DATA E HORA DE LEITURA CONDIÇÃO DE LEITURA/FATURAMENTO DOCUMENTO MÉDIA LOTE 10/09/2025 13:49:45 EXCESSO DE CONSUMO 44 AG.BANCÁRIA E C.CORRENTE Descrição de Lançamentos Valores Lançados 0 T. Água 961,04 T. Afastamento 192,70 Mês/Ano Consumo TRATAM. ESGOTO 797,86 AGO/2025 74 MAI/2025 29 JUL/2025 127 ABR/2025 2 TOTAL A PAGAR: 1.951,60 JUN/2025 0 MAR/2025 17 Média.......................44 VENCIMENTO: 10/10/2025 Por que minha fatura mudou? Prezados contribuintes, o SAAE informa que os pagamentos das faturas com vencimento em junho de 2024 deverão ser realizados exclusivamente por esta via. Esta medida temporária visa garantir a eficiência no processo de retomada da Concessão dos Serviços Públicos de gestão comercial do saneamento, incluindo o afastamento, tratamento e destinação dos esgotos domésticos, conforme estabelecido no Contrato de Concessão n.º 5/1996. Estamos assumindo os serviços de saneamento do município de Salto. Por conta disso, se houver alguma divergência nos valores de sua conta, entre em contato com o número (11) 9 9984-3028, ligue para 0800 779-6300 ou acesse o site: www.saaesalto.sp.gov.br Agradecemos a compreensão e colaboração de todos. AUTENTICAÇÃO MECÂNICA 82610000019 7 51600307202 7 51010000097 3 30092025750 2 00009730092025750 PAGUE COM PIX VENCIMENTO: TOTAL A PAGAR: 10/10/2025 1.951,60 Nº DA LIGAÇÃO: REFERÊNCIA: 9730 - 16 SET/2025 AUTENTICAÇÃO MECÂNICA",agua
"Serviço Autônomo de Água e Esgoto de Salto - SAAE Salto Rua Nove de Julho, 1053 - Centro - Salto-SP - CEP 13320-005 Whatsapp: (11) 99984-3028 0800-7796-300 CONSUM.: SECRETARIA DE COMUNICAÇÃO E TURISMO Nº DA LIGAÇÃO: 51656 - 83 LIGAÇÃO: ROD CONVENCAO REPUBLICANA, 3, SEC TURISMO - PORTO GOES - CEP: 13324-240 PROP.: SECRETARIA DE COMUNICAÇÃO E TURISMO Código de Débito Automático 420005165683 ENTREGA: ROD CONVENCAO REPUBLICANA,3, PONTE ESTAIADA CAT ECO HIDRÔMETRO LEIT. ATUAL LEIT. ANT. CONSUMO EMISSÃO REFERÊNCIA 4 1 Y19G004253 448 439 9 15/10/2025 JUL/2025 DATA E HORA DE LEITURA CONDIÇÃO DE LEITURA/FATURAMENTO DOCUMENTO MÉDIA LOTE 22/07/2025 08:03:18 NORMAL 6 AG.BANCÁRIA E C.CORRENTE Descrição de Lançamentos Valores Lançados 0 T. Água 27,81 T. Afastamento 5,57 Mês/Ano Consumo TRATAM. ESGOTO 21,80 JUN/2025 7 MAR/2025 0 MAI/2025 5 FEV/2025 10 TOTAL A PAGAR: 55,18 ABR/2025 6 JAN/2025 10 Média.......................6 VENCIMENTO: 10/08/2025 Por que minha fatura mudou? Prezados contribuintes, o SAAE informa que os pagamentos das faturas com vencimento em junho de 2024 deverão ser realizados exclusivamente por esta via. Esta medida temporária visa garantir a eficiência no processo de retomada da Concessão dos Serviços Públicos de gestão comercial do saneamento, incluindo o afastamento, tratamento e destinação dos esgotos domésticos, conforme estabelecido no Contrato de Concessão n.º 5/1996. Estamos assumindo os serviços de saneamento do município de Salto. Por conta disso, se houver alguma divergência nos valores de sua conta, entre em contato com o número (11) 9 9984-3028, ligue para 0800 779-6300 ou acesse o site: www.saaesalto.sp.gov.br Agradecemos a compreensão e colaboração de todos. AUTENTICAÇÃO MECÂNICA 82650000000 3 55180307202 6 50810000516 6 56072025950 9 00051656072025950 PAGUE COM PIX VENCIMENTO: TOTAL A PAGAR: 10/08/2025 55,18 Nº DA LIGAÇÃO: REFERÊNCIA: 51656 - 83 JUL/2025 AUTENTICAÇÃO MECÂNICA",agua
"Serviço Autônomo de Água e Esgoto de Salto - SAAE Salto Rua Nove de Julho, 1053 - Centro - Salto-SP - CEP 13320-005 Whatsapp: (11) 99984-3028 0800-7796-300 CONSUM.: PREFEITURA DA ESTANCIA TURISTICA DE SALTO Nº DA LIGAÇÃO: 36301 - 00 LIGAÇÃO: R TRANQUILO GIANNINI, 801, SEDE PREFEITURA - BAIRRO OLARIA - CEP: 13329-600 PROP.: PREFEITURA DA ESTANCIA TURISTICA DE SALTO Código de Débito Automático 420003630100 ENTREGA: R TRANQUILO GIANNINI,801, PREDIO PUBLICO CAT ECO HIDRÔMETRO LEIT. ATUAL LEIT. ANT. CONSUMO EMISSÃO REFERÊNCIA 4 1 C2OS002676 7929 7318 611 15/10/2025 SET/2025 DATA E HORA DE LEITURA CONDIÇÃO DE LEITURA/FATURAMENTO DOCUMENTO MÉDIA LOTE 30/09/2025 14:08:52 NORMAL 423 AG.BANCÁRIA E C.CORRENTE Descrição de Lançamentos Valores Lançados 0 T. Água 0,00 T. Afastamento 1.435,85 Mês/Ano Consumo TRATAM. ESGOTO 5.945,03 AGO/2025 618 MAI/2025 421 JUL/2025 457 ABR/2025 329 TOTAL A PAGAR: 7.380,88 JUN/2025 365 MAR/2025 347 Média.......................423 VENCIMENTO: 20/10/2025 Por que minha fatura mudou? Prezados contribuintes, o SAAE informa que os pagamentos das faturas com vencimento em junho de 2024 deverão ser realizados exclusivamente por esta via. Esta medida temporária visa garantir a eficiência no processo de retomada da Concessão dos Serviços Públicos de gestão comercial do saneamento, incluindo o afastamento, tratamento e destinação dos esgotos domésticos, conforme estabelecido no Contrato de Concessão n.º 5/1996. Estamos assumindo os serviços de saneamento do município de Salto. Por conta disso, se houver alguma divergência nos valores de sua conta, entre em contato com o número (11) 9 9984-3028, ligue para 0800 779-6300 ou acesse o site: www.saaesalto.sp.gov.br Agradecemos a compreensão e colaboração de todos. AUTENTICAÇÃO MECÂNICA 82650000073 0 80880307202 0 51020000363 8 01092025930 5 00036301092025930 PAGUE COM PIX VENCIMENTO: TOTAL A PAGAR: 20/10/2025 7.380,88 Nº DA LIGAÇÃO: REFERÊNCIA: 36301 - 00 SET/2025 AUTENTICAÇÃO MECÂNICA",agua
"Serviço Autônomo de Água e Esgoto de Salto - SAAE Salto Rua Nove de Julho, 1053 - Centro - Salto-SP - CEP 13320-005 Whatsapp: (11) 99984-3028 0800-7796-300 CONSUM.: PREFEITURA DA ESTANCIA TURISTICA DE SALTO Nº DA LIGAÇÃO: 36301 - 00 LIGAÇÃO: R TRANQUILO GIANNINI, 801, SEDE PREFEITURA - BAIRRO OLARIA - CEP: 13329-600 PROP.: PREFEITURA DA ESTANCIA TURISTICA DE SALTO Código de Débito Automático 420003630100 ENTREGA: R TRANQUILO GIANNINI,801, PREDIO PUBLICO CAT ECO HIDRÔMETRO LEIT. ATUAL LEIT. ANT. CONSUMO EMISSÃO REFERÊNCIA 4 1 C2OS002676 7318 6700 618 15/10/2025 AGO/2025 DATA E HORA DE LEITURA CONDIÇÃO DE LEITURA/FATURAMENTO DOCUMENTO MÉDIA LOTE 29/08/2025 13:35:58 EXCESSO DE CONSUMO 364 AG.BANCÁRIA E C.CORRENTE Descrição de Lançamentos Valores Lançados 0 T. Água 0,00 T. Afastamento 1.452,30 Mês/Ano Consumo TRATAM. ESGOTO 6.013,14 JUL/2025 457 ABR/2025 329 JUN/2025 365 MAR/2025 347 TOTAL A PAGAR: 7.465,44 MAI/2025 421 FEV/2025 263 Média.......................364 VENCIMENTO: 20/09/2025 Por que minha fatura mudou? Prezados contribuintes, o SAAE informa que os pagamentos das faturas com vencimento em junho de 2024 deverão ser realizados exclusivamente por esta via. Esta medida temporária visa garantir a eficiência no processo de retomada da Concessão dos Serviços Públicos de gestão comercial do saneamento, incluindo o afastamento, tratamento e destinação dos esgotos domésticos, conforme estabelecido no Contrato de Concessão n.º 5/1996. Estamos assumindo os serviços de saneamento do município de Salto. Por conta disso, se houver alguma divergência nos valores de sua conta, entre em contato com o número (11) 9 9984-3028, ligue para 0800 779-6300 ou acesse o site: www.saaesalto.sp.gov.br Agradecemos a compreensão e colaboração de todos. AUTENTICAÇÃO MECÂNICA 82690000074 4 65440307202 2 50920000363 0 01082025030 5 00036301082025030 PAGUE COM PIX VENCIMENTO: TOTAL A PAGAR: 20/09/2025 7.465,44 Nº DA LIGAÇÃO: REFERÊNCIA: 36301 - 00 AGO/2025 AUTENTICAÇÃO MECÂNICA",agua
"Serviço Autônomo de Água e Esgoto de Salto - SAAE Salto Rua Nove de Julho, 1053 - Centro - Salto-SP - CEP 13320-005 Whatsapp: (11) 99984-3028 0800-7796-300 CONSUM.: PREFEITURA DA ESTANCIA TURISTICA DE SALTO Nº DA LIGAÇÃO: 36301 - 00 LIGAÇÃO: R TRANQUILO GIANNINI, 801, SEDE PREFEITURA - BAIRRO OLARIA - CEP: 13329-600 PROP.: PREFEITURA DA ESTANCIA TURISTICA DE SALTO Código de Débito Automático 420003630100 ENTREGA: R TRANQUILO GIANNINI,801, PREDIO PUBLICO CAT ECO HIDRÔMETRO LEIT. ATUAL LEIT. ANT. CONSUMO EMISSÃO REFERÊNCIA 4 1 C2OS002676 6700 6243 457 15/10/2025 JUL/2025 DATA E HORA DE LEITURA CONDIÇÃO DE LEITURA/FATURAMENTO DOCUMENTO MÉDIA LOTE 30/07/2025 09:02:36 EXCESSO DE CONSUMO 341 AG.BANCÁRIA E C.CORRENTE Descrição de Lançamentos Valores Lançados 0 T. Água 0,00 T. Afastamento 1.073,95 Mês/Ano Consumo TRATAM. ESGOTO 4.446,61 JUN/2025 365 MAR/2025 347 MAI/2025 421 FEV/2025 263 TOTAL A PAGAR: 5.520,56 ABR/2025 329 JAN/2025 320 Média.......................341 VENCIMENTO: 20/08/2025 Por que minha fatura mudou? Prezados contribuintes, o SAAE informa que os pagamentos das faturas com vencimento em junho de 2024 deverão ser realizados exclusivamente por esta via. Esta medida temporária visa garantir a eficiência no processo de retomada da Concessão dos Serviços Públicos de gestão comercial do saneamento, incluindo o afastamento, tratamento e destinação dos esgotos domésticos, conforme estabelecido no Contrato de Concessão n.º 5/1996. Estamos assumindo os serviços de saneamento do município de Salto. Por conta disso, se houver alguma divergência nos valores de sua conta, entre em contato com o número (11) 9 9984-3028, ligue para 0800 779-6300 ou acesse o site: www.saaesalto.sp.gov.br Agradecemos a compreensão e colaboração de todos. AUTENTICAÇÃO MECÂNICA 82620000055 0 20560307202 1 50820000363 2 01072025200 5 00036301072025200 PAGUE COM PIX VENCIMENTO: TOTAL A PAGAR: 20/08/2025 5.520,56 Nº DA LIGAÇÃO: REFERÊNCIA: 36301 - 00 JUL/2025 AUTENTICAÇÃO MECÂNICA",agua
"Serviço Autônomo de Água e Esgoto de Salto - SAAE Salto Rua Nove de Julho, 1053 - Centro - Salto-SP - CEP 13320-005 Whatsapp: (11) 99984-3028 0800-7796-300 CONSUM.: PREFEITURA DA ESTANCIA TURISTICA DE SALTO Nº DA LIGAÇÃO: 36301 - 00 LIGAÇÃO: R TRANQUILO GIANNINI, 801, SEDE PREFEITURA - BAIRRO OLARIA - CEP: 13329-600 PROP.: PREFEITURA DA ESTANCIA TURISTICA DE SALTO Código de Débito Automático 420003630100 ENTREGA: R TRANQUILO GIANNINI,801, PREDIO PUBLICO CAT ECO HIDRÔMETRO LEIT. ATUAL LEIT. ANT. CONSUMO EMISSÃO REFERÊNCIA 4 1 C2OS002676 6243 5878 365 15/10/2025 JUN/2025 DATA E HORA DE LEITURA CONDIÇÃO DE LEITURA/FATURAMENTO DOCUMENTO MÉDIA LOTE 30/06/2025 11:15:22 NORMAL 318 AG.BANCÁRIA E C.CORRENTE Descrição de Lançamentos Valores Lançados 0 T. Água 0,00 T. Afastamento 857,75 Mês/Ano Consumo TRATAM. ESGOTO 3.551,45 MAI/2025 421 FEV/2025 263 ABR/2025 329 JAN/2025 320 TOTAL A PAGAR: 4.409,20 MAR/2025 347 DEZ/2024 228 Média.......................318 VENCIMENTO: 20/07/2025 Por que minha fatura mudou? Prezados contribuintes, o SAAE informa que os pagamentos das faturas com vencimento em junho de 2024 deverão ser realizados exclusivamente por esta via. Esta medida temporária visa garantir a eficiência no processo de retomada da Concessão dos Serviços Públicos de gestão comercial do saneamento, incluindo o afastamento, tratamento e destinação dos esgotos domésticos, conforme estabelecido no Contrato de Concessão n.º 5/1996. Estamos assumindo os serviços de saneamento do município de Salto. Por conta disso, se houver alguma divergência nos valores de sua conta, entre em contato com o número (11) 9 9984-3028, ligue para 0800 779-6300 ou acesse o site: www.saaesalto.sp.gov.br Agradecemos a compreensão e colaboração de todos. AUTENTICAÇÃO MECÂNICA 82650000044 1 09200307202 9 50720000363 4 01062025470 5 00036301062025470 PAGUE COM PIX VENCIMENTO: TOTAL A PAGAR: 20/07/2025 4.409,20 Nº DA LIGAÇÃO: REFERÊNCIA: 36301 - 00 JUN/2025 AUTENTICAÇÃO MECÂNICA",agua
"Serviço Autônomo de Água e Esgoto de Salto - SAAE Salto Rua Nove de Julho, 1053 - Centro - Salto-SP - CEP 13320-005 Whatsapp: (11) 99984-3028 0800-7796-300 CONSUM.: CLINICA DE SAUDE Nº DA LIGAÇÃO: 38018 - 67 LIGAÇÃO: R SAO DIMAS, 834, CLINICA DE SAUDE HI - SAO GABRIEL - CEP: 13327-350 PROP.: PREFEITURA DA ESTANCIA TURISTICA DE SALTO Código de Débito Automático 420003801867 ENTREGA: R SAO DIMAS,834, CLINICA DE SAUDE HI CAT ECO HIDRÔMETRO LEIT. ATUAL LEIT. ANT. CONSUMO EMISSÃO REFERÊNCIA 4 1 Y21BR0000556 2452 2392 60 15/10/2025 SET/2025 DATA E HORA DE LEITURA CONDIÇÃO DE LEITURA/FATURAMENTO DOCUMENTO MÉDIA LOTE 25/09/2025 12:24:40 EXCESSO DE CONSUMO 36 AG.BANCÁRIA E C.CORRENTE Descrição de Lançamentos Valores Lançados 0 T. Água 418,20 T. Afastamento 84,60 Mês/Ano Consumo TRATAM. ESGOTO 337,20 AGO/2025 40 MAI/2025 34 JUL/2025 16 ABR/2025 37 TOTAL A PAGAR: 840,00 JUN/2025 57 MAR/2025 31 Média.......................36 VENCIMENTO: 20/10/2025 Por que minha fatura mudou? Prezados contribuintes, o SAAE informa que os pagamentos das faturas com vencimento em junho de 2024 deverão ser realizados exclusivamente por esta via. Esta medida temporária visa garantir a eficiência no processo de retomada da Concessão dos Serviços Públicos de gestão comercial do saneamento, incluindo o afastamento, tratamento e destinação dos esgotos domésticos, conforme estabelecido no Contrato de Concessão n.º 5/1996. Estamos assumindo os serviços de saneamento do município de Salto. Por conta disso, se houver alguma divergência nos valores de sua conta, entre em contato com o número (11) 9 9984-3028, ligue para 0800 779-6300 ou acesse o site: www.saaesalto.sp.gov.br Agradecemos a compreensão e colaboração de todos. AUTENTICAÇÃO MECÂNICA 82690000008 2 40000307202 4 51020000380 2 18092025020 6 00038018092025020 PAGUE COM PIX VENCIMENTO: TOTAL A PAGAR: 20/10/2025 840,00 Nº DA LIGAÇÃO: REFERÊNCIA: 38018 - 67 SET/2025 AUTENTICAÇÃO MECÂNICA",agua
"Serviço Autônomo de Água e Esgoto de Salto - SAAE Salto Rua Nove de Julho, 1053 - Centro - Salto-SP - CEP 13320-005 Whatsapp: (11) 99984-3028 0800-7796-300 CONSUM.: CLINICA DE SAUDE Nº DA LIGAÇÃO: 38018 - 67 LIGAÇÃO: R SAO DIMAS, 834, CLINICA DE SAUDE HI - SAO GABRIEL - CEP: 13327-350 PROP.: PREFEITURA DA ESTANCIA TURISTICA DE SALTO Código de Débito Automático 420003801867 ENTREGA: R SAO DIMAS,834, CLINICA DE SAUDE HI CAT ECO HIDRÔMETRO LEIT. ATUAL LEIT. ANT. CONSUMO EMISSÃO REFERÊNCIA 4 1 Y21BR0000556 2392 2352 40 15/10/2025 AGO/2025 DATA E HORA DE LEITURA CONDIÇÃO DE LEITURA/FATURAMENTO DOCUMENTO MÉDIA LOTE 26/08/2025 12:07:46 NORMAL 36 AG.BANCÁRIA E C.CORRENTE Descrição de Lançamentos Valores Lançados 0 T. Água 218,80 T. Afastamento 43,20 Mês/Ano Consumo TRATAM. ESGOTO 192,40 JUL/2025 16 ABR/2025 37 JUN/2025 57 MAR/2025 31 TOTAL A PAGAR: 454,40 MAI/2025 34 FEV/2025 41 Média.......................36 VENCIMENTO: 20/09/2025 Por que minha fatura mudou? Prezados contribuintes, o SAAE informa que os pagamentos das faturas com vencimento em junho de 2024 deverão ser realizados exclusivamente por esta via. Esta medida temporária visa garantir a eficiência no processo de retomada da Concessão dos Serviços Públicos de gestão comercial do saneamento, incluindo o afastamento, tratamento e destinação dos esgotos domésticos, conforme estabelecido no Contrato de Concessão n.º 5/1996. Estamos assumindo os serviços de saneamento do município de Salto. Por conta disso, se houver alguma divergência nos valores de sua conta, entre em contato com o número (11) 9 9984-3028, ligue para 0800 779-6300 ou acesse o site: www.saaesalto.sp.gov.br Agradecemos a compreensão e colaboração de todos. AUTENTICAÇÃO MECÂNICA 82610000004 9 54400307202 9 50920000380 4 18082025110 6 00038018082025110 PAGUE COM PIX VENCIMENTO: TOTAL A PAGAR: 20/09/2025 454,40 Nº DA LIGAÇÃO: REFERÊNCIA: 38018 - 67 AGO/2025 AUTENTICAÇÃO MECÂNICA",agua
"Serviço Autônomo de Água e Esgoto de Salto - SAAE Salto Rua Nove de Julho, 1053 - Centro - Salto-SP - CEP 13320-005 Whatsapp: (11) 99984-3028 0800-7796-300 CONSUM.: CLINICA DE SAUDE Nº DA LIGAÇÃO: 38018 - 67 LIGAÇÃO: R SAO DIMAS, 834, CLINICA DE SAUDE HI - SAO GABRIEL - CEP: 13327-350 PROP.: PREFEITURA DA ESTANCIA TURISTICA DE SALTO Código de Débito Automático 420003801867 ENTREGA: R SAO DIMAS,834, CLINICA DE SAUDE HI CAT ECO HIDRÔMETRO LEIT. ATUAL LEIT. ANT. CONSUMO EMISSÃO REFERÊNCIA 4 1 Y21BR0000556 2352 2336 16 15/10/2025 JUL/2025 DATA E HORA DE LEITURA CONDIÇÃO DE LEITURA/FATURAMENTO DOCUMENTO MÉDIA LOTE 25/07/2025 10:29:16 NORMAL 39 AG.BANCÁRIA E C.CORRENTE Descrição de Lançamentos Valores Lançados 0 T. Água 54,08 T. Afastamento 10,72 Mês/Ano Consumo TRATAM. ESGOTO 43,20 JUN/2025 57 MAR/2025 31 MAI/2025 34 FEV/2025 41 TOTAL A PAGAR: 108,00 ABR/2025 37 JAN/2025 27 Média.......................39 VENCIMENTO: 20/08/2025 Por que minha fatura mudou? Prezados contribuintes, o SAAE informa que os pagamentos das faturas com vencimento em junho de 2024 deverão ser realizados exclusivamente por esta via. Esta medida temporária visa garantir a eficiência no processo de retomada da Concessão dos Serviços Públicos de gestão comercial do saneamento, incluindo o afastamento, tratamento e destinação dos esgotos domésticos, conforme estabelecido no Contrato de Concessão n.º 5/1996. Estamos assumindo os serviços de saneamento do município de Salto. Por conta disso, se houver alguma divergência nos valores de sua conta, entre em contato com o número (11) 9 9984-3028, ligue para 0800 779-6300 ou acesse o site: www.saaesalto.sp.gov.br Agradecemos a compreensão e colaboração de todos. AUTENTICAÇÃO MECÂNICA 82600000001 6 08000307202 4 50820000380 6 18072025380 6 00038018072025380 PAGUE COM PIX VENCIMENTO: TOTAL A PAGAR: 20/08/2025 108,00 Nº DA LIGAÇÃO: REFERÊNCIA: 38018 - 67 JUL/2025 AUTENTICAÇÃO MECÂNICA",agua
"Serviço Autônomo de Água e Esgoto de Salto - SAAE Salto Rua Nove de Julho, 1053 - Centro - Salto-SP - CEP 13320-005 Whatsapp: (11) 99984-3028 0800-7796-300 CONSUM.: CLINICA DE SAUDE Nº DA LIGAÇÃO: 38018 - 67 LIGAÇÃO: R SAO DIMAS, 834, CLINICA DE SAUDE HI - SAO GABRIEL - CEP: 13327-350 PROP.: PREFEITURA DA ESTANCIA TURISTICA DE SALTO Código de Débito Automático 420003801867 ENTREGA: R SAO DIMAS,834, CLINICA DE SAUDE HI CAT ECO HIDRÔMETRO LEIT. ATUAL LEIT. ANT. CONSUMO EMISSÃO REFERÊNCIA 4 1 Y21BR0000556 2336 2279 57 15/10/2025 JUN/2025 DATA E HORA DE LEITURA CONDIÇÃO DE LEITURA/FATURAMENTO DOCUMENTO MÉDIA LOTE 25/06/2025 11:42:01 NORMAL 34 AG.BANCÁRIA E C.CORRENTE Descrição de Lançamentos Valores Lançados 0 T. Água 85,56 T. Afastamento 17,25 Mês/Ano Consumo TRATAM. ESGOTO 69,00 MAI/2025 34 FEV/2025 41 ABR/2025 37 JAN/2025 27 TOTAL A PAGAR: 171,81 MAR/2025 31 DEZ/2024 34 Média.......................34 VENCIMENTO: 20/07/2025 Por que minha fatura mudou? Prezados contribuintes, o SAAE informa que os pagamentos das faturas com vencimento em junho de 2024 deverão ser realizados exclusivamente por esta via. Esta medida temporária visa garantir a eficiência no processo de retomada da Concessão dos Serviços Públicos de gestão comercial do saneamento, incluindo o afastamento, tratamento e destinação dos esgotos domésticos, conforme estabelecido no Contrato de Concessão n.º 5/1996. Estamos assumindo os serviços de saneamento do município de Salto. Por conta disso, se houver alguma divergência nos valores de sua conta, entre em contato com o número (11) 9 9984-3028, ligue para 0800 779-6300 ou acesse o site: www.saaesalto.sp.gov.br Agradecemos a compreensão e colaboração de todos. AUTENTICAÇÃO MECÂNICA 82650000001 1 71810307202 8 50720000380 8 18062025540 6 00038018062025540 PAGUE COM PIX VENCIMENTO: TOTAL A PAGAR: 20/07/2025 171,81 Nº DA LIGAÇÃO: REFERÊNCIA: 38018 - 67 JUN/2025 AUTENTICAÇÃO MECÂNICA",agua
